respondent_id,persona,mojo_driver,sdt_stage,A1_role,A2_department,A3_tenure,A4_ai_experience,B1_ai_improves_quality,B2_interested_in_learning,B3_motivated_to_experiment,B4_aligns_with_values,B5_use_because_expected_REVERSE,B5_scored,C1_sufficient_time,C2_manager_support,C3_tool_access,C4_clear_guidelines,C5_peer_learning,D1_confident_using_ai,D2_prompt_writing,D3_evaluate_output,D4_understand_limits,D5_know_when_to_use,E1_improved_productivity,E2_improved_quality,E3_concrete_examples,E4_team_benefit,E5_positive_impact,MOJO_M_score,MOJO_O_score,MOJO_J_score,MOJO_Outcome_score,F1_biggest_challenge,F2_helpful_situation,F3_what_would_help,G1_adoption_stage
R020,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Data/Analytics,3–5 years,Less than 3 months,4,3,3,4,1,5,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3.8,3.4,4.0,3.8,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,Dedicated sandbox environments where teams can test AI integrations without compliance risk.,Regular part of daily workflow
R043,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Sales,More than 5 years,3–12 months,4,4,4,4,3,3,1,3,3,2,2,4,3,2,2,3,2,2,3,3,2,3.8,2.2,2.8,2.4,"The biggest blocker is clarity: no one has told us which tools are approved, which data we can feed into them, or what counts as acceptable use.",I can imagine AI making our RFP response process so much faster — we do it manually every time and it's exhausting.,Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,Regular part of daily workflow
R154,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Executive,Operations,3–5 years,3–12 months,1,2,2,1,4,2,3,3,4,3,3,1,2,3,3,2,2,3,3,1,2,1.6,3.2,2.2,2.2,I think AI has potential but the way it's being rolled out here feels top-down and disconnected from actual work realities.,"Honestly, I've found AI helpful for a few administrative tasks — scheduling, formatting, that kind of thing. But not for the work I care about.","I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.",Use occasionally
R079,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Engineering,More than 5 years,3–12 months,2,2,2,2,4,2,3,3,3,3,2,3,3,2,4,3,2,3,2,2,2,2.0,2.8,3.0,2.2,"The AI tools available to me don't integrate with our existing systems, so I'd have to rebuild half my workflow to use them.",I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,"Help me understand what AI is and isn't appropriate for in my specific role — a practical framework, not a sales pitch.","Tried a few, don't use regularly"
R146,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Sales,3–5 years,More than 2 years,1,2,2,1,5,1,3,3,3,4,3,3,2,2,2,3,2,2,2,1,1,1.4,3.2,2.4,1.6,I think AI has potential but the way it's being rolled out here feels top-down and disconnected from actual work realities.,"When I use AI on tasks I don't care about — like generating status update templates — it's fine. On work I care about, I'd rather do it myself.","I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.",Use occasionally
R016,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Engineering,More than 5 years,3–12 months,4,4,5,5,3,3,4,4,4,3,2,4,4,4,4,4,4,4,3,4,4,4.2,3.4,4.0,3.8,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,Dedicated sandbox environments where teams can test AI integrations without compliance risk.,Regular part of daily workflow
R025,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Marketing,Less than 1 year,3–12 months,4,5,4,4,2,4,4,3,5,3,4,3,4,4,4,3,5,4,4,5,5,4.2,3.8,3.6,4.6,I want to do more with AI than our current infrastructure allows. We're behind on compute and API access.,Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,Dedicated sandbox environments where teams can test AI integrations without compliance risk.,Regular part of daily workflow
R069,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Engineering,1–3 years,Less than 3 months,3,4,4,4,2,4,2,2,2,3,2,3,3,3,3,2,2,3,3,2,2,3.8,2.2,2.8,2.4,I genuinely want to use AI more but simply don't have time built into my schedule to explore it. My days are back-to-back meetings.,I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,Having a peer resource — someone in my department who uses AI well and can mentor others — would be much more effective than online courses.,Use occasionally
R114,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Engineering,1–3 years,Less than 3 months,3,3,4,4,3,3,4,4,2,3,2,2,2,1,1,2,2,4,3,2,3,3.4,3.0,1.6,2.8,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,"Regular drop-in sessions where I can ask questions and get help in real time, not just asynchronous courses.",Regular part of daily workflow
R119,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Marketing,More than 5 years,1–2 years,5,3,5,4,2,4,2,3,4,2,4,3,1,2,3,1,2,2,3,2,2,4.2,3.0,2.0,2.2,I tried a few tools based on recommendations from colleagues but couldn't get results that felt useful or reliable.,Someone on my team helped me set up an AI tool and showed me a specific prompt. That one use case I can now do reliably.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.",Use occasionally
